ABC,2
NBC,11
CBS,13
FOX,45
CNN,202
HLN,204
ESPN,206
ESPNews,207
ESPNU,208
ESPN2,209
NFL Network,212 
MLB Network,213
NHL Network,215
NBA TV,216
Golf Channel,218
Fox Sports,219
NBC Sports,220
CBS Sports,221
DIY Network,230
Food Network,231
Cooking Channel,232
Bravo,237
Home Shopping Network,240
USA Network,242
Syfy,244
TNT,245
truTV,246
TBS,247
FX,248
Comedy Central,249
Lifetime,252
AMC,254
BBC,264
A&E,265
BIO,266
History Channel,269
National Geographic,276
Discovery Channel,278
TLC,280
Animal Planet,282
Disney Channel,290
Cartoon Network,296
Hallmark Channel,312
CMT,327
BET,329
MTV,331
NASA TV,346
C-SPAN,350
C-SPAN2,351
Bloomberg,353
DOGTV,354
CNBC,355
MSNBC,356
Fox News,360
Weather Channel,362
Daystar TV,369
CW,394
The Movie Channel,553
SundanceTV,557
Smithsonian Channel,570
BTN,610
MSG,634
MASN,640
Comcast SportsNet,642
